Name,Party,State,,
"Britt, Katie Boyd",Republican,Alabama,,
"Tuberville, Tommy",Republican,Alabama,,
"Aderholt, Robert B.",Republican,Alabama (AL),,
"Carl, Jerry L.",Republican,Alabama (AL),,
"Moore, Barry",Republican,Alabama (AL),,
"Palmer, Gary J.",Republican,Alabama (AL),,
"Rogers, Mike",Republican,Alabama (AL),,
"Sewell, Terri A.",Democrat,Alabama (AL),,
"Strong, Dale W.",Republican,Alabama (AL),,
"Murkowski, Lisa",Republican,Alaska,,
"Sullivan, Dan",Republican,Alaska,,
"Peltola, Mary Sattler",Democrat,Alaska (AK),,
"Kelly, Mark",Democratic,Arizona,,
"Sinema, Kyrsten",Independent,Arizona,,
"Biggs, Andy",Republican,Arizona (AZ),,
"Ciscomani, Juan",Republican,Arizona (AZ),,
"Crane, Elijah",Republican,Arizona (AZ),,
"Gallego, Ruben",Democrat,Arizona (AZ),,
"Gosar, Paul A.",Republican,Arizona (AZ),,
"Grijalva, Raúl M.",Democrat,Arizona (AZ),,
"Lesko, Debbie",Republican,Arizona (AZ),,
"Schweikert, David",Republican,Arizona (AZ),,
"Stanton, Greg",Democrat,Arizona (AZ),,
"Boozman, John",Republican,Arkansas,,
"Cotton, Tom",Republican,Arkansas,,
"Crawford, Eric A. ""Rick""",Republican,Arkansas (AR),,
"Hill, J. French",Republican,Arkansas (AR),,
"Westerman, Bruce",Republican,Arkansas (AR),,
"Womack, Steve",Republican,Arkansas (AR),,
"Butler, Laphonza R.",Democratic,California,,
"Padilla, Alex",Democratic,California,,
"Aguilar, Pete",Democrat,California (CA),,
"Barragán, Nanette Diaz",Democrat,California (CA),,
"Bera, Ami",Democrat,California (CA),,
"Brownley, Julia",Democrat,California (CA),,
"Calvert, Ken",Republican,California (CA),,
"Carbajal, Salud O.",Democrat,California (CA),,
"Chu, Judy",Democrat,California (CA),,
"Correa, J. Luis",Democrat,California (CA),,
"Costa, Jim",Democrat,California (CA),,
"Cárdenas, Tony",Democrat,California (CA),,
"DeSaulnier, Mark",Democrat,California (CA),,
"Duarte, John S.",Republican,California (CA),,
"Eshoo, Anna G.",Democrat,California (CA),,
"Garamendi, John",Democrat,California (CA),,
"Garcia, Mike",Republican,California (CA),,
"Garcia, Robert",Democrat,California (CA),,
"Gomez, Jimmy",Democrat,California (CA),,
"Harder, Josh",Democrat,California (CA),,
"Huffman, Jared",Democrat,California (CA),,
"Issa, Darrell",Republican,California (CA),,
"Jacobs, Sara",Democrat,California (CA),,
"Kamlager-Dove, Sydney",Democrat,California (CA),,
"Khanna, Ro",Democrat,California (CA),,
"Kiley, Kevin",Republican,California (CA),,
"Kim, Young",Republican,California (CA),,
"LaMalfa, Doug",Republican,California (CA),,
"Lee, Barbara",Democrat,California (CA),,
"Levin, Mike",Democrat,California (CA),,
"Lieu, Ted",Democrat,California (CA),,
"Lofgren, Zoe",Democrat,California (CA),,
"Matsui, Doris O.",Democrat,California (CA),,
"McClintock, Tom",Republican,California (CA),,
"Mullin, Kevin",Democrat,California (CA),,
"Napolitano, Grace F.",Democrat,California (CA),,
"Obernolte, Jay",Republican,California (CA),,
"Panetta, Jimmy",Democrat,California (CA),,
"Pelosi, Nancy",Democrat,California (CA),,
"Peters, Scott H.",Democrat,California (CA),,
"Porter, Katie",Democrat,California (CA),,
"Ruiz, Raul",Democrat,California (CA),,
"Schiff, Adam B.",Democrat,California (CA),,
"Sherman, Brad",Democrat,California (CA),,
"Steel, Michelle",Republican,California (CA),,
"Swalwell, Eric",Democrat,California (CA),,
"Sánchez, Linda T.",Democrat,California (CA),,
"Takano, Mark",Democrat,California (CA),,
"Thompson, Mike",Democrat,California (CA),,
"Torres, Norma J.",Democrat,California (CA),,
"Valadao, David G.",Republican,California (CA),,
"Vargas, Juan",Democrat,California (CA),,
"Waters, Maxine",Democrat,California (CA),,
"Bennet, Michael F.",Democratic,Colorado,,
"Hickenlooper, John W.",Democratic,Colorado,,
"Boebert, Lauren",Republican,Colorado (CO),,
"Caraveo, Yadira",Democrat,Colorado (CO),,
"Crow, Jason",Democrat,Colorado (CO),,
"DeGette, Diana",Democrat,Colorado (CO),,
"Lamborn, Doug",Republican,Colorado (CO),,
"Neguse, Joe",Democrat,Colorado (CO),,
"Pettersen, Brittany",Democrat,Colorado (CO),,
"Blumenthal, Richard",Democratic,Connecticut,,
"Murphy, Christopher",Democratic,Connecticut,,
"Courtney, Joe",Democrat,Connecticut (CT),,
"DeLauro, Rosa L.",Democrat,Connecticut (CT),,
"Hayes, Jahana",Democrat,Connecticut (CT),,
"Himes, James A.",Democrat,Connecticut (CT),,
"Larson, John B.",Democrat,Connecticut (CT),,
"Carper, Thomas R.",Democratic,Delaware,,
"Coons, Christopher A.",Democratic,Delaware,,
"Blunt Rochester, Lisa",Democrat,Delaware (DE),,
"Norton, Eleanor Holmes",Democrat,District of Columbia (DC),,
"Rubio, Marco",Republican,Florida,,
"Scott, Rick",Republican,Florida,,
"Bean, Aaron",Republican,Florida (FL),,
"Bilirakis, Gus M.",Republican,Florida (FL),,
"Buchanan, Vern",Republican,Florida (FL),,
"Cammack, Kat",Republican,Florida (FL),,
"Castor, Kathy",Democrat,Florida (FL),,
"Cherfilus-McCormick, Sheila",Democrat,Florida (FL),,
"Diaz-Balart, Mario",Republican,Florida (FL),,
"Donalds, Byron",Republican,Florida (FL),,
"Dunn, Neal P.",Republican,Florida (FL),,
"Frankel, Lois",Democrat,Florida (FL),,
"Franklin, Scott",Republican,Florida (FL),,
"Frost, Maxwell",Democrat,Florida (FL),,
"Gaetz, Matt",Republican,Florida (FL),,
"Gimenez, Carlos A.",Republican,Florida (FL),,
"Lee, Laurel M.",Republican,Florida (FL),,
"Luna, Anna Paulina",Republican,Florida (FL),,
"Mast, Brian J.",Republican,Florida (FL),,
"Mills, Cory",Republican,Florida (FL),,
"Moskowitz, Jared",Democrat,Florida (FL),,
"Posey, Bill",Republican,Florida (FL),,
"Rutherford, John H.",Republican,Florida (FL),,
"Salazar, Maria Elvira",Republican,Florida (FL),,
"Soto, Darren",Democrat,Florida (FL),,
"Steube, W. Gregory",Republican,Florida (FL),,
"Waltz, Michael",Republican,Florida (FL),,
"Wasserman Schultz, Debbie",Democrat,Florida (FL),,
"Webster, Daniel",Republican,Florida (FL),,
"Wilson, Frederica S.",Democrat,Florida (FL),,
