State or Territory Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,,,,,,,,,,,,
Alabama (AL),"$63,956,990,959","$60,860,760,287","$70,054,377,514","$63,458,436,653","$52,745,772,545","$57,556,365,713","$67,378,745,198","$64,407,723,916","$59,736,019,156",,,,,,,,,,,,
Alaska (AK),"$16,239,117,455","$15,026,817,712","$18,616,753,675","$16,668,259,136","$10,341,773,393","$9,809,277,732","$8,813,403,681","$7,331,885,743","$7,290,975,135",,,,,,,,,,,,
Arizona (AZ),"$110,222,610,643","$106,749,361,499","$122,329,346,098","$121,016,675,884","$82,972,346,983","$78,178,343,565","$75,791,567,105","$68,594,138,317","$60,163,628,449",,,,,,,,,,,,
Arkansas (AR),"$31,849,538,455","$31,369,471,667","$37,083,740,295","$33,336,742,734","$25,317,331,482","$24,417,225,159","$23,944,978,258","$21,091,395,839","$20,580,502,020",,,,,,,,,,,,
California (CA),"$423,850,577,651","$425,241,895,169","$510,142,287,945","$463,446,930,881","$312,185,377,695","$311,791,226,449","$307,249,522,514","$281,766,484,043","$253,408,980,859",,,,,,,,,,,,
Colorado (CO),"$61,371,664,672","$59,380,575,391","$69,938,439,664","$64,404,147,964","$45,042,327,260","$42,080,862,482","$41,022,289,477","$36,260,593,495","$33,596,459,190",,,,,,,,,,,,
Connecticut (CT),"$121,570,779,078","$112,540,320,359","$107,804,985,010","$103,785,928,815","$82,688,328,978","$68,021,620,063","$67,710,630,070","$74,132,733,294","$65,473,202,130",,,,,,,,,,,,
Delaware (DE),"$11,000,389,926","$10,267,286,479","$13,168,897,545","$11,923,065,488","$8,038,633,834","$7,530,737,065","$6,871,324,595","$6,361,613,404","$6,115,648,804",,,,,,,,,,,,
District of Columbia (DC),"$54,136,094,132","$51,290,069,267","$54,160,509,312","$43,536,188,643","$34,505,726,639","$34,675,997,005","$34,083,525,349","$29,725,911,092","$29,310,591,487",,,,,,,,,,,,
Florida (FL),"$277,336,936,629","$256,853,668,347","$297,464,442,940","$277,804,875,784","$203,139,417,152","$191,201,151,848","$181,640,124,293","$162,811,531,624","$148,491,261,995",,,,,,,,,,,,
Georgia (GA),"$92,679,317,004","$88,512,873,268","$115,392,490,793","$105,683,849,794","$69,821,733,589","$68,069,968,411","$65,129,592,231","$61,192,920,560","$51,202,793,766",,,,,,,,,,,,
Hawaii (HI),"$18,763,577,828","$17,227,955,018","$21,542,072,363","$19,016,061,928","$12,964,039,881","$12,449,429,959","$11,608,057,080","$10,701,258,685","$9,895,019,740",,,,,,,,,,,,
Idaho (ID),"$19,497,961,615","$17,993,235,486","$21,549,493,501","$20,742,003,180","$13,969,378,565","$13,011,659,269","$12,420,467,595","$11,523,828,848","$10,457,623,000",,,,,,,,,,,,
Illinois (IL),"$157,557,122,199","$118,212,213,629","$156,198,036,779","$134,012,600,684","$89,225,847,779","$88,692,980,607","$84,029,489,641","$79,047,895,789","$69,723,232,892",,,,,,,,,,,,
Indiana (IN),"$183,688,286,943","$163,919,901,208","$177,226,160,277","$186,145,853,523","$147,343,387,657","$137,624,914,939","$130,045,039,016","$126,485,768,665","$120,030,709,620",,,,,,,,,,,,
Iowa (IA),"$30,819,714,648","$37,790,728,764","$36,003,521,058","$26,326,532,263","$24,177,424,465","$23,052,607,109","$22,202,570,322","$20,065,157,908","$18,190,545,550",,,,,,,,,,,,
Kansas (KS),"$26,854,887,068","$27,523,168,232","$32,814,009,115","$30,186,431,195","$20,405,860,165","$18,821,406,252","$17,668,334,702","$14,955,343,636","$16,564,429,457",,,,,,,,,,,,
Kentucky (KY),"$159,288,455,549","$150,375,510,094","$144,799,146,900","$125,093,983,445","$103,113,786,537","$89,675,704,191","$91,231,273,783","$87,440,288,578","$75,569,121,824",,,,,,,,,,,,
Louisiana (LA),"$58,700,882,332","$53,707,598,233","$68,776,377,276","$56,871,606,288","$39,438,079,755","$37,708,573,972","$40,503,576,310","$34,278,001,803","$27,915,901,475",,,,,,,,,,,,
Maine (ME),"$20,033,752,037","$18,019,740,313","$20,408,705,633","$19,576,780,929","$14,821,968,934","$12,111,451,105","$13,063,978,085","$10,793,313,468","$10,024,812,236",,,,,,,,,,,,
Maryland (MD),"$98,054,543,611","$94,830,510,817","$104,860,947,515","$103,323,599,367","$76,038,233,549","$71,873,169,865","$67,786,787,823","$65,072,917,705","$60,043,634,137",,,,,,,,,,,,
Massachusetts (MA),"$94,937,289,630","$89,009,331,380","$114,114,714,420","$101,282,686,833","$71,134,741,057","$67,838,537,457","$63,304,144,272","$60,947,286,076","$57,084,374,868",,,,,,,,,,,,
Michigan (MI),"$112,608,181,429","$111,676,472,916","$131,907,807,566","$119,724,006,305","$87,698,332,352","$84,929,376,405","$79,402,921,323","$75,082,205,942","$63,555,483,916",,,,,,,,,,,,
Minnesota (MN),"$214,123,364,522","$203,252,935,070","$182,631,020,840","$157,059,813,275","$118,357,595,778","$101,888,794,881","$94,083,936,993","$79,255,536,002","$64,179,847,611",,,,,,,,,,,,
Mississippi (MS),"$37,708,211,443","$33,729,465,026","$40,181,005,662","$37,650,202,555","$29,958,106,461","$29,954,080,416","$27,718,728,136","$23,284,199,502","$20,827,463,513",,,,,,,,,,,,
