State,2023,2022,2021,2020,2019,2018,2017,2016,2015,,,,,,,,,,,
Alabama (AL),"$300,152,000,000","$281,569,000,000","$257,986,500,000","$235,118,300,000","$234,526,400,000","$226,263,800,000","$216,615,500,000","$207,608,000,000","$201,926,000,000",,,,,,,,,,,
Alaska (AK),"$67,337,000,000","$65,699,000,000","$58,646,000,000","$51,261,500,000","$54,469,900,000","$54,762,000,000","$53,550,900,000","$51,506,000,000","$51,770,000,000",,,,,,,,,,,
Arizona (AZ),"$508,344,000,000","$475,654,000,000","$432,279,800,000","$386,443,500,000","$375,545,000,000","$353,671,000,000","$333,099,000,000","$309,103,000,000","$295,597,000,000",,,,,,,,,,,
Arkansas (AR),"$176,240,000,000","$165,989,000,000","$151,931,900,000","$135,884,500,000","$132,637,200,000","$129,213,800,000","$123,882,600,000","$121,448,000,000","$119,492,000,000",,,,,,,,,,,
California (CA),"$3,862,171,000,000","$3,641,643,000,000","$3,416,939,400,000","$3,068,809,400,000","$3,062,158,900,000","$2,899,530,900,000","$2,740,550,300,000","$2,656,080,000,000","$2,531,304,000,000",,,,,,,,,,,
Colorado (CO),"$520,389,000,000","$491,289,000,000","$447,051,700,000","$397,612,200,000","$397,701,600,000","$373,923,100,000","$350,209,100,000","$330,319,000,000","$315,475,000,000",,,,,,,,,,,
Connecticut (CT),"$340,181,000,000","$319,345,000,000","$295,907,500,000","$275,801,900,000","$285,466,400,000","$280,535,400,000","$273,875,100,000","$266,597,000,000","$260,185,000,000",,,,,,,,,,,
Delaware (DE),"$93,595,000,000","$90,208,000,000","$82,952,800,000","$77,615,100,000","$78,685,800,000","$73,376,000,000","$69,555,600,000","$71,769,000,000","$69,256,000,000",,,,,,,,,,,
District of Columbia (DC),"$174,796,000,000","$165,061,000,000","$156,139,900,000","$146,935,300,000","$145,171,000,000","$141,240,200,000","$134,298,800,000","$128,597,000,000","$121,870,000,000",,,,,,,,,,,
Florida (FL),"$1,579,503,000,000","$1,439,065,000,000","$1,292,391,300,000","$1,140,133,000,000","$1,127,988,600,000","$1,072,085,600,000","$1,014,866,900,000","$947,007,000,000","$903,778,000,000",,,,,,,,,,,
Georgia (GA),"$805,397,000,000","$767,378,000,000","$701,606,100,000","$637,930,600,000","$646,939,000,000","$612,803,400,000","$583,543,300,000","$532,805,000,000","$510,496,000,000",,,,,,,,,,,
Hawaii (HI),"$108,023,000,000","$101,083,000,000","$93,089,800,000","$84,615,200,000","$93,356,200,000","$90,933,500,000","$87,436,400,000","$84,889,000,000","$81,650,000,000",,,,,,,,,,,
Idaho (ID),"$118,791,000,000","$110,871,000,000","$98,792,800,000","$88,187,700,000","$84,550,200,000","$79,072,400,000","$72,935,100,000","$68,450,000,000","$65,760,000,000",,,,,,,,,,,
Illinois (IL),"$1,082,968,000,000","$1,025,667,000,000","$943,993,300,000","$860,747,500,000","$895,800,000,000","$871,024,200,000","$832,826,800,000","$798,999,000,000","$780,040,000,000",,,,,,,,,,,
Indiana (IN),"$497,036,000,000","$470,324,000,000","$422,951,900,000","$377,901,100,000","$385,446,200,000","$377,376,900,000","$357,535,800,000","$346,591,000,000","$337,786,000,000",,,,,,,,,,,
Iowa (IA),"$248,923,000,000","$238,342,000,000","$220,818,200,000","$199,447,000,000","$196,085,100,000","$193,155,100,000","$187,125,000,000","$181,007,000,000","$178,238,000,000",,,,,,,,,,,
Kansas (KS),"$226,012,000,000","$209,326,000,000","$191,831,700,000","$177,720,600,000","$176,917,700,000","$173,373,000,000","$166,273,600,000","$154,574,000,000","$152,725,000,000",,,,,,,,,,,
Kentucky (KY),"$277,747,000,000","$258,981,000,000","$237,925,900,000","$218,755,200,000","$220,683,300,000","$210,509,100,000","$203,564,000,000","$201,545,000,000","$194,942,000,000",,,,,,,,,,,
Louisiana (LA),"$309,601,000,000","$291,952,000,000","$263,162,700,000","$236,135,900,000","$257,096,700,000","$256,444,400,000","$239,830,700,000","$237,569,000,000","$234,932,000,000",,,,,,,,,,,
Maine (ME),"$91,081,000,000","$85,801,000,000","$78,918,400,000","$72,091,600,000","$69,298,200,000","$66,216,000,000","$63,000,600,000","$59,857,000,000","$58,453,000,000",,,,,,,,,,,
Maryland (MD),"$512,280,000,000","$480,113,000,000","$446,941,000,000","$413,417,700,000","$419,447,600,000","$410,771,800,000","$399,714,500,000","$384,386,000,000","$372,169,000,000",,,,,,,,,,,
Massachusetts (MA),"$733,860,000,000","$691,461,000,000","$645,434,000,000","$589,033,300,000","$588,617,500,000","$559,605,000,000","$530,129,400,000","$516,483,000,000","$500,634,000,000",,,,,,,,,,,
